PROVIDER,LP,PROVIDED_LP_TOKENS,WITHDRAWN_LP_TOKENS,BALANCE
terra1ettjtz5sqxs7srrq0cn3pxdc79h7mqfg0q3unu,loop-ust,87494202,87494000,202
terra1ywvpyr9xdj72edk7ulrzaddckypdyuhxurr7ek,loop-ust,107904735,107904000,735
terra1hnnfl6utegwt480y44j2s0rau242gz4x8akwv8,loop-ust,25367248,25367000,248
terra1w527f06l522hqjxgv5zffvqnm0uz52wjdagvv2,loop-ust,4597163,4597000,163
terra1mv2sv2uvhaxxwqvqmz9ka7zwzn84rmn7n9jmac,loop-ust,28516551,28516000,551
terra1vacky2577f0fkg3dzj606vexl7x4lh2ymhkx6l,loop-ust,69861824,69861000,824
terra1dlnfhyw6vweyqn3d58fgcwdly6x45e4kkud5c5,loop-loopr,95919628,95919000,628
terra13dul5rdhtmchdz5jxa6lxzzkak6f6neqj05prd,loop-ust,4438288,2099000,2339288
terra1kut2vh6t2afxwxkw0458rrzjfjsw0z2dwzg9qu,loop-lota,19365802,19365000,802
terra17ruvtyurpdt0qqcn47qduhlnp0uf6ln38u2kll,luna-aust,85999784,85999000,784
terra1qgrv9g0c5wuhcxck983t7jczn4349qprqd5lje,loop-ust,14600659,14600000,659
terra1dnrug6gjp3mwstdu2e0lqp9rxlgtlvxvqq3f2u,loop-ust,8696965,8696000,965
terra1450agxa7hwa07cl4kdhvqk0juzjfxlnmeg4trk,loop-ust,346085556,346085000,556
terra1s0xk5m95ldmsqnyq6qh2h0nlyqtkwzu45y55x5,loop-ust,3754621419,3754621000,419
terra163z8gu3cu6kwam69qr3ed82p00rqtn2mx5t7ny,loop-ust,110786552,110786000,552
terra1s7wf2mhqv7694v9ydntyvcceu070n7ajkvsads,loop-ust,1594568,1594000,568
terra1yka0z76apmu8aq74eknqjqeut92j4dngn95yxm,mir-ust,1061773205,1061773000,205
terra1akzwpzu2e970srktcl4wyx3zghzpkmvtqhc6fa,loop-ust,20492894,20492000,894
terra164pq2jd3949p07mf7hqmy3wja8k7xmdc4aj8n7,loop-ust,95425318,95425000,318
terra1zjfggdypemxvq7t5wy0edum9p98us5gfhtp86r,loop-ust,92403304,92403000,304
terra16j6tgk8067stx038qem6enyvfr04g3u0xxp26t,mir-ust,38882865,38882000,865
terra170srs8a2hccj9elq56ev896xt0zzqcddpxxjg2,loop-loopr,80181137678,20045284000,60135853678
terra132nwa7q7vxmn9d8eefjf2cy995fs8ptnqd8hyq,mir-ust,1126175,1126000,175
terra1fp3myfakxp54su3kutsr2hm5hc0e4tr82zhmyv,bluna-luna,1996248,1996000,248
terra15fd6hu4xhyyfkjk3r34622rqh7gfhfauhce0wg,dph-ust,2244011904,2244011000,904
terra10puch4xawtzqgvja36zxlve8qukfrlkkm8vkxj,loop-ust,22701297,22701000,297
terra18hksalv4qkr8ehncyj7vvcausg8mv3ssarsrw5,loop-ust,52465017,52465000,17
terra1pgkq40jl95npr5h70vfur8cchsf2wgw72e4j7u,loopr-ust,625386987,625386000,987
terra109mjlzrgvtmllphfedm7v8wy7yvgr5e0zkukra,loopr-ust,41442728,41442000,728
terra1eqwlprlzxf560007x4tlqc7842e8205kv8e7xg,loopr-ust,59266609,59266000,609
terra1fzmgvk627exvmc3rpczexfc97vnr59q3vvwszy,loop-ust,981117,981000,117
terra1v3l8955qjhpvaep4ntyk5n3t5x60r59pdeqdfm,loopr-ust,301092770,301092000,770
terra1k29rv6gm9apks7mv64d8ed6g4agq26ks4f5mh6,mir-ust,59922779,59922000,779
terra1refc9rc2xxzpsd5r2rcklmzlq3dyqq6tdqnm9c,loop-ust,6653264,6653000,264
terra1ry2nxv8njru3jh5shkn637rhgn04dkpnejhkml,mine-ust,7292881,7292000,881
