DONOR,USD
terra1pl6gzmk68rahtwcjjz2xyfz6puer42sft9r95c,19.999674299
terra152nmpv9cwmna8wzrwnmklt4q0qjjlx9w5474yv,19.999674299
terra14tdsywzgsqd3kctlvyx6nz0dyhdeuypx7keleg,11.523575379
terra17neuluck3uu8fznc3vqlz2dqquw83k03jwvmj8,11.139006217
terra1gpzj5fma0vm2xpvusmltyz7q8uqee9f7dhfa0j,10.997927537
terra1x5pwqh5awpjmur6u5heda2sg62fvr2n0xaygv9,10.130900139
terra1w0phnp0uw8cfd95wjyjpqaxaz4v6hg4yhhv7cz,9.993420808
terra1enh4sg9yymnlxkw2l8m9xpjl9kfynzuapum5ny,9.992888643
terra1vjlgdrdzm4j2n7wnxzvvswunak7gn5qrnjc3ly,9.986946194
terra1zd4awx60vmwld3f8yyrj2a8u7kphhkplsjszcs,9.982804827
terra1f3wyuf9lv33u7cdue0n0wef9w6wyx6edf4jpfn,5.008733773
terra1xpjmgda56atmvsccsqy2wmha5fn4rgsg88qa9q,5.002815373
terra1chycvz7mntfea3kw9amrjdhe0anl0w9txhandf,5.001505881
terra1crslhdg5nr475dknp0ja0wss53zgqjy56c0amu,4.98585536
terra1ww9jmuudn9n82wyjng6v5g9fncultnxzengqer,4.968513768
terra1vyqu70zp92ljg0g3xwh9028hfyjzuhlrxlwn2f,4.347954234
terra1v5p2c9xw3tz2yma9lz6lmm48ecv48w6ufxtqjl,4.001283499
terra1s22vqfzgkclkynrnlr7elp9c3q93m7nl3xlsf5,4.000553569
terra10wudkjzj2y2p09cc08v3tqg3qz60q9swzgu4gv,3.116487277
terra1ynqv5szdchvqzrjf5umvv6wrdrvtc5fuf27k3a,3.010139853
terra154sy32z5jt684mr5rqnx22eukeujv3ygv9ckge,3.006373424
terra1vz6wlc3raj2tfxuv2ps5erm354tt8fujlw3rx6,3.005157925
terra1tdhw0ty62253ayu0wwf8ckx3dm9sq37hfk43sl,2.991513216
terra1k0p5flc2ltw38xtc8xkq3ylum4g4s77ny38ne5,2.871852687
terra1hn6les7lmctdxesx20mcjwm8p7qc2lukaqctvh,2.013889297
terra17u6wwgexgal0s4t47jmxh5xjzsh7kmhepf25p9,2.008509728
terra1kzce8mgqns9vcta00dus4yj3teuagl4uz6w5pa,2.006759902
terra143c39hwvjwydcl8h80avt57s6aseft2773w9ng,2.003438616
terra1vc59f8fkayyunlzfu32fkapq2n6nmc3qv6wfpk,2.00303798
terra1hd7khruwm3kphy0xe92gp456j7pp2hvqh8us6l,2.001861076
terra1nz5njfv8wkf2fcgdac2xwacd8xnmp7pzcafw3q,1.996513153
terra1v5p6mhq0dkpf3f9tt2kyw3fnp0z7rcs42cu69n,1.994342144
terra1ac6w9ll6cynx7a5t7u3r2sx5zzta5j3p22d0uz,1.994342144
terra1wgeam6gp5fswvn0v78cpehwk689u0uw2lr8j6q,1.502278485
terra1a55dq7j3zzvd3809ara6nsunv60s6kml0ta4sn,1.500606921
terra1cjjy53yuarrck4z84ka2qme4stycjmjel5dv7j,1.499332237
terra1zqx3qhjmyxctukuaf6ld8ehs798hzl20qda6hy,1.494807456
terra1dcmeu5jplpwvjcfw4kevmahhzvda9695w8u320,1.49055413
terra1arvh0qxqw0kuks8u4z9e56pp5e0u2rnxgr9gz6,1.444886153
terra1n4ds0cc2qygulp7zu4ug24vhmpajur2djdlc33,1.296322394
terra1fex2qp7hqxhcfx85ffvdds0fmztrv0gpgn2sg4,1.200212059
terra1axjjhnsk59ujtrvmlu3rp3hcnm8mvdn6l7x7un,1.103717946
terra10n6qsqvsd280enhpjan9h0xj86992yhhndv26p,1.099510307
terra1vhcqazm46hu5xrtz0gyqx670p54ds06keqz0jq,1.098376605
terra1ug46dgmra2ggwedpvmslphz5sc22edveg2clhm,1.091683193
terra1pfpx5yfpfz9cyqmle8965nqkly0vfpdvx6pd9n,1.00537659
terra1dzyq59pa06al3dph3vax096m2ctpg67nlyk9xx,1.003379951
terra165djqgvtplvu5y36exdkmnjkh68hkxxrvecedl,1.003379951
terra15dsmc89uhcnw484s9f4k67ac52w0ucmvv3dqmu,1.003379951
terra1f3855gmeqefp2mtt2mc7w9604nnwpzhhsh5w0d,1.003379951
terra13uuea8tv6hdxc3l3s8t4f8mywgg02lljgz3u2q,1.002731045
terra1gnzy0g93349s0qc8y7xn3uslpc60ulfar3svjt,1.001719308
terra1y4clgfwfj40q5jgmwjlj5392n089ze5tq54yj0,1.00151899
terra1z75yypurfmnektxkl3v2y7e3xgnutfqc0ngur5,1.001133747
terra1ceuydvu4hf5wa3q8awch7ewdv0k0hs5wmlppx4,1.000739886
terra1u83acxlh58p9fn8kvjwawwx2nlgnmc0ll5feac,1.000515184
terra1fqgqsdvjfrcfsw2vj4c6qydd0dxhyzeuy06hls,0.9995859534
terra1ndgmlpd39g23mh9ua5ddmwscp4a35zrw3kssm2,0.9995548244
terra1ht69hqk6zflfww8zlk3lfasc7slfzf5dzykthh,0.9995548244
terra1hd6fmhfexznf4s04x77mgy28zcuudwep5u5geu,0.9995548244
terra1vwgueyzw8lz9pfp5ndd62zstf67wpn93q39lmd,0.997171072
terra1sfvrt6ptlmrlxqkvy5c600e9pz599hfeft29t0,0.997171072
terra1ewc4hsyvguuxqztszlmnzlt57xtrqgqdyjcyyv,0.997171072
terra1gek93tejaq2wk6m4k0q847g2jaqrtvqtwy4fa7,0.997171072
terra1jewjpkcdr972wntcxgk9qdm0ejlsgg5qgfte2q,0.997171072
terra1vnvpetucvvxdg9m72v5nkwl2kvekw3zjyh5jey,0.997171072
terra1wmwtyv5d2j5xaq927kysc63r3e9f56z45mq6nw,0.9965383043
terra14e0gtt94ktq7aaxmxdzae0nx26j53lzv8ushmt,0.9965383043
terra1el2td2naxglpld243yk9eydru69vle5fsdkn38,0.9957464712
terra14ar7s44f9q33jp7ckq8jl4crkh3fg3kc5t58jm,0.9954223664
terra1x3ngaslmw47vjcz2xemv7gcaug0h9y02q3z0nq,0.9946705015
terra1ufrxz7hasvp08udcz9vxuk3395rvjuuzu938na,0.5003454524
terra1fay9k4t85p4w7gdd2nhrf42epwtez6r6kkhk4u,0.5003454524
